"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Ecuador",218,3387.357,3475.475,3566.804,3661.499,3759.759,3861.808,3967.916,4078.387,4193.546,4313.726,4439.206,4570.153,4706.566,4848.259,4994.917,5146.294,5302.37,5463.176,5628.565,5798.368,5972.464,6150.69,6333.049,6519.792,6711.284,6907.74,7109.119,7315.156,7525.548,7739.894,7957.811,8178.948,8403.034,8629.832,8859.125,9090.592,9323.745,9557.974,9792.658,10027.109,10260.587,10493.498,10725.281,10953.182,11173.647,11384.506,11584.074,11774.005,11959.586,12148.188,12345.023,12552.036,12767.415,12987.992,13208.869,13426.402,13639.708,13849.721,14056.74,14261.566,14464.739
"Falkland Islands (Malvinas)",238,2.261,2.247,2.235,2.224,2.213,2.202,2.191,2.18,2.168,2.156,2.144,2.131,2.117,2.104,2.089,2.074,2.058,2.041,2.024,2.008,1.991,1.975,1.96,1.946,1.932,1.917,1.903,1.889,1.877,1.866,1.856,1.85,1.846,1.845,1.849,1.856,1.867,1.881,1.905,1.941,1.993,2.062,2.144,2.239,2.338,2.439,2.541,2.642,2.737,2.818,2.881,2.922,2.942,2.95,2.953,2.958,2.967,2.979,2.993,3.006,3.017
"French Guiana",254,25.479,26.225,26.867,27.444,27.994,28.547,29.136,29.79,30.534,31.391,32.377,33.505,34.775,36.182,37.711,39.347,41.1,42.96,44.87,46.754,48.561,50.282,51.945,53.58,55.233,56.949,58.74,60.634,62.711,65.073,67.799,70.882,74.316,78.174,82.548,87.473,93.019,99.097,105.392,111.472,117.038,121.979,126.405,130.513,134.605,138.916,143.449,148.169,153.227,158.797,164.983,171.889,179.424,187.247,194.882,201.993,208.451,214.366,219.931,225.451,231.151
"Guyana",328,406.562,423.477,439.117,454.032,468.658,483.31,498.187,513.371,528.838,544.484,560.184,575.863,591.554,607.423,623.694,640.447,657.885,675.725,692.968,708.276,720.738,729.796,735.823,739.97,743.915,748.809,755.174,762.481,769.57,774.748,776.856,775.589,771.521,765.434,758.499,751.636,745.015,738.589,732.806,728.147,724.931,723.448,723.615,724.909,726.552,727.979,728.99,729.743,730.458,731.496,733.101,735.327,738.011,740.925,743.743,746.235,748.321,750.068,751.578,753.013,754.493
"Paraguay",600,1473.245,1511.975,1551.186,1591.144,1632.078,1674.172,1717.573,1762.386,1808.678,1856.488,1905.829,1956.714,2009.165,2063.215,2118.896,2176.195,2235.296,2296.118,2358.072,2420.365,2482.508,2544.362,2606.357,2669.285,2734.247,2802.133,2873.058,2947.064,3024.857,3107.259,3194.768,3287.677,3385.626,3487.626,3592.275,3698.465,3805.813,3914.302,4023.628,4133.551,4243.86,4354.331,4464.78,4575.121,4685.32,4795.365,4905.15,5014.65,5124.05,5233.615,5343.539,5453.921,5564.709,5675.754,5786.836,5897.816,6008.597,6119.295,6230.242,6341.892,6454.548
"Peru",604,7632.461,7821.202,8020.389,8228.65,8445.11,8669.403,8901.699,9142.672,9393.411,9655.274,9929.439,10216.429,10515.695,10825.44,11143.12,11466.936,11796.103,12131.226,12473.584,12825.119,13187.182,13559.712,13941.958,14333.692,14734.523,15143.887,15561.809,15987.545,16418.798,16852.621,17286.832,17720.017,18152.344,18585.148,19020.616,19460.111,19903.833,20350.457,20797.983,21243.7,21685.537,22122.065,22553.275,22980.182,23404.523,23827.163,24248.671,24667.356,25079.136,25478.577,25861.887,26228.274,26579.252,26916.342,27242.033,27558.769,27866.387,28166.078,28463.338,28765.162,29076.512
"Suriname",740,214.999,222.649,229.598,236.273,243.001,250.004,257.399,265.202,273.335,281.654,290,298.272,306.474,314.747,323.298,332.197,341.643,351.379,360.486,367.733,372.297,373.795,372.648,369.834,366.767,364.497,363.386,363.227,363.818,364.751,365.749,366.77,368.027,369.782,372.398,376.102,381.012,386.974,393.605,400.375,406.89,413.011,418.828,424.455,430.102,435.92,441.896,447.957,454.124,460.419,466.846,473.431,480.132,486.8,493.236,499.294,504.913,510.136,515.066,519.861,524.636
"Uruguay",858,2238.506,2261.141,2285.906,2312.737,2341.496,2371.978,2403.897,2436.899,2470.569,2504.449,2538.095,2571.134,2603.317,2634.538,2664.775,2693.906,2722.232,2749.441,2774.109,2794.374,2809.117,2817.577,2820.734,2821.367,2823.326,2829.391,2840.601,2856.206,2874.998,2894.983,2914.683,2933.904,2953.118,2972.284,2991.478,3010.766,3029.948,3048.955,3068.166,3088.11,3109.122,3131.14,3153.857,3177.035,3200.342,3223.401,3246.484,3269.301,3290.261,3307.29,3319.066,3324.81,3325.379,3323.124,3321.367,3322.529,3327.451,3335.528,3345.967,3357.391,3368.786
"Venezuela (Bolivarian Republic of)",862,5093.708,5290.182,5504.783,5733.449,5972.956,6220.929,6475.873,6737.137,7004.812,7279.562,7562.108,7852.68,8150.542,8453.781,8759.89,9067.485,9375.646,9686.071,10003.238,10333.268,10680.678,11045.959,11428.022,11827.681,12245.478,12681.017,13135.849,13607.958,14088.961,14567.68,15036.273,15490.555,15932.973,16370.463,16813.481,17269.324,17740.108,18222.505,18711.83,19201.096,19685.177,20162.745,20635.233,21103.592,21569.68,22034.909,22499.248,22962.221,23424.338,23886.213,24348.304,24810.691,25273.336,25736.393,26199.994,26664.122,27128.721,27593.427,28057.485,28519.913,28979.857
"NORTHERN AMERICA",905,171614.868,174223.276,177116.008,180238.061,183536.416,186960.025,190459.634,193987.962,197500.247,200955.158,204317.505,207561.156,210671.567,213646.879,216494.825,219223.662,221830.659,224317.319,226704.004,229018.289,231284.373,233509.229,235701.138,237887.186,240099.153,242360.377,244687.853,247080.905,249522.885,251986.557,254453.552,256917.969,259391.241,261892.618,264449.181,267079.432,269797.03,272594.667,275445.063,278308.981,281161.577,283981.218,286784.603,289630.566,292601.05,295749.132,299099.512,302617.611,306224.479,309808.715,313288.975,316637.77,319875.264,323026.078,326133.835,329231.166,332320.168,335389.806,338445.064,341490.34,344528.824
"Bermuda",60,37.26,37.793,38.424,39.122,39.865,40.637,41.426,42.228,43.041,43.868,44.713,45.573,46.436,47.286,48.092,48.839,49.516,50.128,50.69,51.23,51.765,52.301,52.831,53.347,53.832,54.278,54.682,55.051,55.396,55.73,56.064,56.4,56.739,57.084,57.441,57.812,58.201,58.606,59.016,59.416,59.795,60.15,60.483,60.799,61.104,61.405,61.701,61.99,62.275,62.555,62.834,63.112,63.388,63.655,63.905,64.13,64.328,64.502,64.657,64.802,64.941
"Canada",124,13736.997,14132.558,14518.772,14909.614,15314.04,15735.988,16174.093,16621.974,17069.068,17502.043,17909.009,18284.009,18630.957,18965.32,19309.343,19678.005,20078.135,20501.867,20931.716,21342.6,21716.855,22048.431,22344.104,22614.673,22876.657,23142.272,23416.09,23695.198,23975.639,24250.641,24516.277,24769.849,25016.047,25266.95,25538.86,25842.588,26183.106,26554.54,26943.398,27330.298,27700.854,28051.725,28386.162,28704.519,29009.032,29302.092,29582.222,29850.242,30113.972,30383.823,30667.365,30967.236,31281.727,31608.562,31943.605,32283.413,32627.978,32977.334,33327.954,33675.448,34016.593
"Greenland",304,22.998,23.449,23.982,24.635,25.433,26.383,27.477,28.689,29.985,31.32,32.649,33.948,35.216,36.487,37.81,39.215,40.715,42.273,43.809,45.221,46.431,47.42,48.209,48.814,49.263,49.586,49.775,49.844,49.873,49.969,50.208,50.619,51.18,51.842,52.527,53.173,53.777,54.348,54.854,55.263,55.552,55.705,55.735,55.688,55.631,55.617,55.657,55.742,55.867,56.022,56.196,56.395,56.618,56.844,57.041,57.19,57.28,57.316,57.317,57.304,57.296
"Saint Pierre and Miquelon",666,4.573,4.605,4.634,4.663,4.693,4.726,4.763,4.803,4.843,4.883,4.919,4.951,4.981,5.011,5.049,5.095,5.152,5.218,5.291,5.372,5.457,5.548,5.644,5.736,5.817,5.883,5.929,5.957,5.973,5.985,5.999,6.015,6.033,6.054,6.079,6.107,6.141,6.179,6.218,6.253,6.279,6.296,6.304,6.305,6.303,6.301,6.3,6.297,6.293,6.285,6.27,6.249,6.223,6.194,6.164,6.137,6.112,6.09,6.072,6.057,6.046
"United States of America",840,157813.04,160024.871,162530.196,165260.027,168152.385,171152.291,174211.875,177290.268,180353.31,183373.044,186326.215,189192.675,191953.977,194592.775,197094.531,199452.508,201657.141,203717.833,205672.498,207573.866,209463.865,211355.529,213250.35,215164.616,217113.584,219108.358,221161.377,223274.855,225436.004,227624.232,229825.004,232035.086,234261.242,236510.688,238794.274,241119.752,243495.805,245920.994,248381.577,250857.751,253339.097,255807.342,258275.919,260803.255,263468.98,266323.717,269393.632,272643.34,275986.072,279300.03,282496.31,285544.778,288467.308,291290.823,294063.12,296820.296,299564.47,302284.564,304989.064,307686.729,310383.948
"OCEANIA",909,12675.424,12977.382,13271.961,13565.256,13861.815,14164.63,14475.07,14792.952,15116.757,15444.045,15772.545,16101.395,16432.199,16769.48,17119.385,17485.918,17869.622,18267.707,18676.479,19090.67,19505.525,19922.291,20339.692,20747.637,21133.253,21488.506,21807.988,22097.274,22372.938,22658.27,22970.13,23314.201,23685.851,24078.959,24483.158,24890.581,25300.274,25714.262,26130.947,26548.88,26966.942,27384.802,27802.175,28218.268,28632.293,29044.205,29454.376,29864.523,30277.798,30698.294,31129.693,31570.812,32022.757,32493.912,32994.981,33532.326,34110.449,34723.757,35355.969,35984.488,36592.873
"Australia/New Zealand",927,10085.345,10346.342,10597.297,10844.567,11092.83,11345.087,11602.581,11864.878,12130.12,12395.433,12658.184,12917.301,13174.439,13434.489,13704.144,13987.767,14286.175,14596.376,14914.045,15233.012,15547.959,15859.732,16167.472,16462.305,16733.042,16972.804,17177.004,17350.76,17509.005,17672.67,17857.101,18067.017,18298.792,18549.108,18811.513,19080.797,19357.147,19641.291,19928.894,20214.519,20494.136,20766.638,21032.594,21291.944,21545.239,21793.476,22036.979,22277.284,22518.348,22765.261,23022.383,23289.018,23566.029,23860.889,24182.952,24537.637,24929.198,25352.449,25791.626,26224.928,26636.52
"Australia",36,8177.344,8398.54,8604.679,8804.552,9004.634,9209.085,9419.635,9635.7,9854.726,10072.762,10286.184,10493.531,10697.112,10903.699,11122.567,11359.763,11617.58,11892.163,12175.746,12457.299,12728.362,12987.847,13236.895,13472.175,13690.285,13889.696,14067.994,14227.905,14379.565,14536.839,14709.918,14901.61,15109.659,15332.79,15567.927,15812.088,16066.496,16330.369,16596.096,16853.69,17096.153,17320.633,17529.469,17727.413,17921.818,18118.416,18319.637,18525.153,18734.878,18947.894,19164.351,19382.188,19604.051,19840.12,20103.822,20403.52,20744.295,21119.988,21513.817,21902.3,22268.384
"New Zealand",554,1908.001,1947.802,1992.618,2040.015,2088.196,2136.002,2182.946,2229.178,2275.394,2322.671,2372,2423.77,2477.327,2530.79,2581.577,2628.004,2668.595,2704.213,2738.299,2775.713,2819.597,2871.885,2930.577,2990.13,3042.757,3083.108,3109.01,3122.855,3129.44,3135.831,3147.183,3165.407,3189.133,3216.318,3243.586,3268.709,3290.651,3310.922,3332.798,3360.829,3397.983,3446.005,3503.125,3564.531,3623.421,3675.06,3717.342,3752.131,3783.47,3817.367,3858.032,3906.83,3961.978,4020.769,4079.13,4134.117,4184.903,4232.461,4277.809,4322.628,4368.136
"Melanesia",928,2199.497,2230.508,2264.58,2301.26,2340.227,2381.284,2424.378,2469.585,2517.09,2567.167,2620.088,2676.024,2734.974,2796.724,2860.941,2927.482,2996.029,3066.881,3141.206,3220.584,3306.036,3398.157,3496.31,3598.754,3703.036,3807.405,3910.932,4014.124,4118.391,4225.869,4337.936,4455.439,4577.454,4701.495,4824.111,4943.002,5057.159,5167.88,5278.034,5391.707,5511.896,5639.463,5773.628,5913.703,6058.399,6206.691,6358.668,6514.518,6673.398,6834.241,6996.313,7159.056,7322.685,7488.176,7656.975,7830.045,8007.698,8189.367,8374.092,8560.499,8747.558
"Fiji",242,288.993,296.204,304.808,314.345,324.471,334.964,345.732,356.801,368.303,380.434,393.366,407.137,421.563,436.199,450.447,463.885,476.334,487.922,498.903,509.68,520.555,531.631,542.846,554.147,565.426,576.634,587.565,598.298,609.387,621.579,635.297,651.006,668.259,685.461,700.434,711.703,718.535,721.637,722.753,724.404,728.39,735.262,744.396,754.981,765.725,775.651,784.713,793.165,800.685,806.927,811.718,814.78,816.336,817.339,819.102,822.553,828.046,835.267,843.651,852.323,860.623
"New Caledonia",540,64.824,64.289,64.453,65.162,66.293,67.745,69.442,71.337,73.4,75.624,78.005,80.531,83.171,85.867,88.549,91.182,93.684,96.089,98.617,101.567,105.134,109.421,114.294,119.408,124.283,128.571,132.158,135.149,137.7,140.061,142.424,144.832,147.247,149.695,152.19,154.749,157.383,160.123,163.039,166.211,169.689,173.502,177.618,181.946,186.358,190.756,195.116,199.443,203.708,207.888,211.965,215.914,219.741,223.496,227.258,231.08,234.976,238.926,242.911,246.9,250.87
"Papua New Guinea",598,1708.192,1729.258,1750.891,1773.34,1796.82,1821.508,1847.546,1875.038,1904.061,1934.676,1966.961,2001.049,2037.162,2075.625,2116.822,2161.087,2208.398,2258.847,2312.978,2371.467,2434.698,2503.009,2576.02,2652.505,2730.77,2809.595,2888.403,2967.506,3047.644,3129.991,3215.339,3304.033,3395.633,3489.227,3583.521,3677.658,3771.385,3865.23,3960.087,4057.228,4157.654,4261.537,4368.815,4479.959,4595.463,4715.617,4840.693,4970.478,5104.153,5240.56,5378.824,5518.586,5659.946,5803.029,5948.135,6095.437,6244.916,6396.307,6549.268,6703.361,6858.266
"Solomon Islands",90,89.793,91.836,94.133,96.638,99.317,102.142,105.093,108.162,111.342,114.637,118.054,121.598,125.272,129.071,132.992,137.041,141.203,145.503,150.036,154.925,160.256,166.067,172.319,178.926,185.758,192.719,199.775,206.94,214.224,221.651,229.235,236.984,244.877,252.86,260.869,268.862,276.815,284.761,292.787,301.012,309.527,318.371,327.529,336.96,346.599,356.404,366.363,376.511,386.906,397.627,408.732,420.232,432.107,444.344,456.919,469.805,483,496.49,510.221,524.125,538.148
"Vanuatu",548,47.695,48.921,50.295,51.775,53.326,54.925,56.565,58.247,59.984,61.796,63.702,65.709,67.806,69.962,72.131,74.287,76.41,78.52,80.672,82.945,85.393,88.029,90.831,93.768,96.799,99.886,103.031,106.231,109.436,112.587,115.641,118.584,121.438,124.252,127.097,130.03,133.041,136.129,139.368,142.852,146.636,150.791,155.27,159.857,164.254,168.263,171.783,174.921,177.946,181.239,185.074,189.544,194.555,199.968,205.561,211.17,216.76,222.377,228.041,233.79,239.651
"Micronesia",954,148.143,151.257,154.281,157.306,160.416,163.679,167.151,170.872,174.868,179.161,183.749,188.635,193.817,199.282,205.02,211.001,217.268,223.775,230.305,236.561,242.355,247.63,252.502,257.184,261.99,267.174,272.755,278.745,285.383,292.94,301.587,311.414,322.313,334.008,346.11,358.306,370.482,382.615,394.578,406.265,417.575,428.451,438.821,448.576,457.589,465.789,473.105,479.582,485.401,490.825,496.05,501.199,506.256,511.092,515.511,519.41,522.707,525.577,528.432,531.837,536.188
"Guam",316,59.65,60.366,61.068,61.744,62.4,63.049,63.718,64.443,65.272,66.255,67.436,68.835,70.441,72.202,74.044,75.911,77.789,79.687,81.598,83.522,85.459,87.402,89.35,91.316,93.322,95.38,97.496,99.669,101.903,104.204,106.572,109.001,111.489,114.05,116.705,119.464,122.333,125.288,128.26,131.157,133.914,136.518,138.981,141.304,143.492,145.559,147.481,149.279,151.065,152.987,155.147,157.596,160.292,163.121,165.918,168.565,171.024,173.334,175.538,177.707,179.896
"Kiribati",296,26.1,26.632,27.158,27.706,28.298,28.943,29.649,30.415,31.233,32.09,32.975,33.88,34.81,35.777,36.801,37.895,39.071,40.314,41.574,42.782,43.891,44.881,45.777,46.629,47.515,48.491,49.573,50.75,52.015,53.35,54.742,56.18,57.668,59.223,60.871,62.62,64.491,66.457,68.416,70.239,71.835,73.163,74.263,75.227,76.188,77.248,78.431,79.713,81.085,82.524,84.01,85.55,87.147,88.776,90.398,91.988,93.534,95.043,96.532,98.027,99.546
"Marshall Islands",584,13,13.218,13.432,13.621,13.774,13.893,13.987,14.081,14.201,14.384,14.661,15.05,15.543,16.109,16.7,17.282,17.839,18.387,18.965,19.622,20.397,21.309,22.34,23.439,24.534,25.578,26.547,27.467,28.396,29.414,30.578,31.891,33.33,34.89,36.562,38.327,40.196,42.14,44.054,45.802,47.288,48.469,49.369,50.04,50.565,51.008,51.389,51.697,51.93,52.08,52.145,52.131,52.066,51.992,51.968,52.037,52.21,52.487,52.88,53.396,54.038
"Micronesia (Fed. States of)",583,32,33.396,34.59,35.686,36.767,37.888,39.085,40.366,41.719,43.12,44.536,45.954,47.385,48.873,50.481,52.236,54.199,56.322,58.403,60.166,61.431,62.105,62.297,62.288,62.474,63.143,64.383,66.106,68.217,70.546,72.962,75.456,78.048,80.667,83.232,85.682,87.95,90.037,92.04,94.105,96.319,98.749,101.314,103.78,105.825,107.233,107.904,107.947,107.605,107.237,107.103,107.29,107.728,108.325,108.926,109.419,109.789,110.092,110.367,110.676,111.064
"Nauru",520,2.953,3.059,3.191,3.335,3.479,3.621,3.76,3.901,4.052,4.227,4.433,4.675,4.947,5.231,5.5,5.738,5.936,6.102,6.241,6.368,6.493,6.619,6.743,6.862,6.972,7.07,7.156,7.235,7.311,7.393,7.488,7.597,7.719,7.855,8.007,8.174,8.356,8.55,8.752,8.956,9.157,9.354,9.544,9.719,9.863,9.97,10.033,10.058,10.056,10.046,10.041,10.046,10.057,10.075,10.094,10.114,10.133,10.154,10.18,10.212,10.255
"Northern Mariana Islands",580,6.999,7.089,7.222,7.417,7.685,8.026,8.427,8.864,9.307,9.721,10.07,10.34,10.541,10.709,10.901,11.157,11.489,11.882,12.318,12.766,13.203,13.658,14.142,14.605,14.978,15.232,15.316,15.293,15.39,15.906,17.048,18.906,21.392,24.308,27.362,30.341,33.174,35.906,38.571,41.244,43.973,46.727,49.456,52.161,54.852,57.517,60.173,62.766,65.138,67.075,68.432,69.184,69.393,69.105,68.404,67.381,66.006,64.349,62.707,61.473,60.917
"Palau",585,7.441,7.497,7.62,7.797,8.013,8.259,8.525,8.802,9.084,9.364,9.638,9.901,10.15,10.381,10.593,10.782,10.945,11.081,11.206,11.335,11.481,11.656,11.853,12.045,12.195,12.28,12.284,12.225,12.151,12.127,12.197,12.383,12.667,13.015,13.371,13.698,13.982,14.237,14.485,14.762,15.089,15.471,15.894,16.345,16.804,17.254,17.694,18.122,18.522,18.876,19.172,19.402,19.573,19.698,19.803,19.906,20.011,20.118,20.228,20.346,20.472
"Polynesia",957,242.439,249.275,255.803,262.123,268.342,274.58,280.96,287.617,294.679,302.284,310.524,319.435,328.969,338.985,349.28,359.668,370.15,380.675,390.923,400.513,409.175,416.772,423.408,429.394,435.185,441.123,447.297,453.645,460.159,466.791,473.506,480.331,487.292,494.348,501.424,508.476,515.486,522.476,529.441,536.389,543.335,550.25,557.132,564.045,571.066,578.249,585.624,593.139,600.651,607.967,614.947,621.539,627.787,633.755,639.543,645.234,650.846,656.364,661.819,667.224,672.607
"American Samoa",16,18.937,19.287,19.525,19.659,19.706,19.688,19.64,19.603,19.624,19.757,20.041,20.5,21.124,21.87,22.672,23.48,24.283,25.087,25.869,26.608,27.288,27.907,28.47,28.983,29.453,29.897,30.305,30.696,31.139,31.727,32.526,33.557,34.797,36.203,37.706,39.253,40.834,42.446,44.048,45.595,47.052,48.402,49.648,50.801,51.885,52.919,53.901,54.834,55.745,56.667,57.625,58.633,59.687,60.774,61.871,62.962,64.045,65.13,66.217,67.312,68.42
"Cook Islands",184,15.079,15.41,15.638,15.841,16.075,16.373,16.74,17.157,17.583,17.967,18.259,18.436,18.515,18.571,18.7,18.97,19.41,19.979,20.584,21.091,21.406,21.507,21.423,21.177,20.808,20.356,19.812,19.185,18.552,18.01,17.627,17.441,17.429,17.531,17.652,17.725,17.726,17.678,17.613,17.58,17.614,17.73,17.909,18.105,18.252,18.307,18.246,18.095,17.919,17.808,17.83,18.007,18.311,18.693,19.075,19.402,19.659,19.861,20.019,20.156,20.288
"French Polynesia",258,60.696,62.583,64.335,66.019,67.69,69.394,71.167,73.034,75.011,77.11,79.335,81.695,84.206,86.887,89.768,92.859,96.177,99.708,103.387,107.129,110.872,114.591,118.303,122.041,125.862,129.803,133.865,138.027,142.29,146.651,151.098,155.637,160.251,164.893,169.5,174.024,178.45,182.788,187.044,191.237,195.383,199.464,203.481,207.494,211.583,215.798,220.172,224.667,229.171,233.532,237.638,241.448,245,248.357,251.622,254.87,258.119,261.345,264.541,267.685,270.764
"Niue",570,4.667,4.682,4.686,4.686,4.686,4.691,4.702,4.722,4.751,4.787,4.831,4.88,4.932,4.987,5.043,5.097,5.154,5.208,5.239,5.219,5.131,4.963,4.727,4.455,4.192,3.973,3.808,3.689,3.599,3.51,3.403,3.273,3.13,2.981,2.84,2.716,2.611,2.522,2.448,2.385,2.333,2.292,2.26,2.233,2.204,2.168,2.123,2.069,2.011,1.953,1.9,1.852,1.809,1.768,1.728,1.686,1.643,1.598,1.555,1.511,1.468
"Samoa",882,82.102,84.177,86.41,88.813,91.39,94.141,97.054,100.114,103.296,106.574,109.917,113.3,116.702,120.115,123.53,126.931,130.32,133.661,136.856,139.783,142.354,144.528,146.33,147.835,149.155,150.373,151.524,152.593,153.557,154.371,155.016,155.488,155.831,156.122,156.459,156.919,157.531,158.29,159.187,160.198,161.308,162.504,163.79,165.172,166.662,168.257,169.969,171.766,173.543,175.169,176.549,177.645,178.488,179.141,179.699,180.237,180.766,181.277,181.809,182.401,183.081
"Tokelau",772,1.57,1.516,1.504,1.522,1.56,1.61,1.666,1.723,1.778,1.828,1.873,1.91,1.938,1.951,1.948,1.924,1.878,1.813,1.738,1.67,1.618,1.587,1.574,1.574,1.577,1.575,1.567,1.556,1.545,1.543,1.554,1.581,1.619,1.661,1.694,1.713,1.712,1.696,1.669,1.637,1.609,1.583,1.558,1.538,1.524,1.52,1.529,1.548,1.566,1.571,1.552,1.504,1.432,1.349,1.271,1.21,1.17,1.148,1.139,1.136,1.135
"Tonga",776,47.22,49.311,51.173,52.785,54.156,55.326,56.368,57.387,58.51,59.875,61.601,63.741,66.257,69.001,71.758,74.364,76.787,79.049,81.096,82.879,84.369,85.518,86.347,86.982,87.606,88.343,89.252,90.29,91.354,92.292,92.999,93.443,93.673,93.766,93.829,93.944,94.139,94.392,94.674,94.938,95.15,95.305,95.426,95.541,95.691,95.907,96.196,96.551,96.966,97.431,97.935,98.476,99.053,99.659,100.286,100.926,101.584,102.254,102.91,103.519,104.058
"Tuvalu",798,5.166,5.221,5.294,5.378,5.468,5.562,5.658,5.758,5.863,5.978,6.104,6.242,6.391,6.542,6.687,6.819,6.935,7.037,7.128,7.213,7.296,7.379,7.459,7.538,7.613,7.685,7.752,7.816,7.883,7.959,8.051,8.16,8.284,8.413,8.537,8.648,8.741,8.821,8.889,8.949,9.004,9.056,9.103,9.148,9.188,9.227,9.264,9.298,9.334,9.374,9.419,9.471,9.53,9.59,9.646,9.694,9.732,9.762,9.786,9.806,9.827
"Wallis and Futuna Islands",876,7.002,7.088,7.238,7.42,7.611,7.795,7.965,8.119,8.263,8.408,8.563,8.731,8.904,9.061,9.174,9.224,9.206,9.133,9.026,8.921,8.841,8.792,8.775,8.809,8.919,9.118,9.412,9.793,10.24,10.728,11.232,11.751,12.278,12.778,13.207,13.534,13.742,13.843,13.869,13.87,13.882,13.914,13.957,14.013,14.077,14.146,14.224,14.311,14.396,14.462,14.499,14.503,14.477,14.424,14.345,14.247,14.128,13.989,13.843,13.698,13.566
